measure 0,-,-,-,-,-,-
quarter.noBeam.down.pos8,8,2,16th.continue.down.pos11,8,4,True
quarter.noBeam.down.pos7,8,3,16th.stop.down.pos11,8,5,True
barline.regular,8,3,eighth.noBeam.down.pos11,8,6,True
barline.return-to-top,8,3,duration.dot.pos12,8,6,True
-,-,-,rest.16th,8,7,True
-,-,-,rest.eighth,8,8,True
-,-,-,barline.regular,8,8,True
-,-,-,16th.start.down.pos6,8,0,True
-,-,-,16th.continue.down.pos6,8,1,True
-,-,-,16th.continue.down.pos5,8,2,True
-,-,-,16th.continue.down.pos5,8,3,True
-,-,-,16th.continue.down.pos6,8,4,True
-,-,-,16th.stop.down.pos6,8,5,True
-,-,-,16th.start.down.pos5,8,6,True
-,-,-,16th.continue.down.pos5,8,7,True
-,-,-,16th.continue.down.pos6,8,8,True
-,-,-,16th.continue.down.pos6,8,9,True
-,-,-,16th.continue.down.pos5,8,10,True
-,-,-,16th.stop.down.pos5,8,11,True
-,-,-,barline.regular,8,11,True
-,-,-,half.noBeam.down.pos5,8,0,True
-,-,-,duration.dot.pos6,8,0,True
-,-,-,barline.regular,8,0,True
-,-,-,barline.return-to-top,8,0,True
measure 9,-,-,-,-,-,-
quarter.noBeam.down.pos8,9,0,16th.start.down.pos16,9,0,True
quarter.noBeam.down.pos10,9,1,16th.continue.down.pos16,9,1,True
accid.flat.pos13,9,2,accid.natural.pos-11,9,2,True
quarter.noBeam.down.pos13,9,2,16th.continue.down.pos-11,9,2,True
quarter.noBeam.down.pos12,9,3,16th.continue.down.pos-11,9,3,True
barline.regular,9,3,16th.continue.down.pos11,9,4,True
quarter.noBeam.up.pos3,9,0,16th.stop.down.pos11,9,5,True
quarter.noBeam.down.pos5,9,1,16th.start.down.pos16,9,6,True
half.noBeam.down.pos8,9,2,16th.continue.down.pos16,9,7,True
tie.start.pos8,9,2,16th.continue.down.pos14,9,8,True
barline.regular,9,2,16th.continue.down.pos14,9,9,True
quarter.noBeam.down.pos4,9,0,16th.continue.down.pos11,9,10,True
rest.quarter,9,1,16th.stop.down.pos11,9,11,True
rest.quarter,9,2,barline.regular,9,11,True
quarter.noBeam.down.pos4,9,3,quarter.noBeam.down.pos11,9,0,True
barline.regular,9,3,duration.dot.pos12,9,0,True
half.noBeam.down.pos6,9,0,rest.quarter,9,1,True
half.noBeam.down.pos8,9,1,duration.dot.pos5,9,1,True
barline.regular,9,1,barline.regular,9,1,True
barline.return-to-top,9,1,quarter.noBeam.down.pos1,9,0,True
-,-,-,>,9,0,True
-,-,-,quarter.noBeam.down.pos6,9,0,True
-,-,-,>,9,0,True
-,-,-,quarter.noBeam.down.pos10,9,0,True
-,-,-,duration.dot.pos2,9,0,True
-,-,-,>,9,0,True
-,-,-,duration.dot.pos6,9,0,True
-,-,-,>,9,0,True
-,-,-,duration.dot.pos10,9,0,True
-,-,-,rest.quarter,9,1,True
-,-,-,duration.dot.pos5,9,1,True
-,-,-,barline.regular,9,1,True
-,-,-,quarter.noBeam.down.pos5,9,0,True
-,-,-,>,9,0,True
-,-,-,quarter.noBeam.down.pos9,9,0,True
-,-,-,duration.dot.pos6,9,0,True
-,-,-,>,9,0,True
-,-,-,duration.dot.pos10,9,0,True
-,-,-,rest.quarter,9,1,True
-,-,-,duration.dot.pos5,9,1,True
-,-,-,barline.regular,9,1,True
-,-,-,barline.return-to-top,9,1,True
measure 10,-,-,-,-,-,-
accid.natural.pos11,10,0,16th.start.down.pos9,10,0,True
quarter.noBeam.down.pos11,10,0,16th.continue.down.pos9,10,1,True
accid.flat.pos10,10,1,16th.continue.down.pos7,10,2,True
quarter.noBeam.down.pos10,10,1,16th.continue.down.pos7,10,3,True
quarter.noBeam.down.pos9,10,2,16th.continue.down.pos4,10,4,True
quarter.noBeam.down.pos8,10,3,16th.stop.down.pos4,10,5,True
barline.regular,10,3,16th.start.up.pos2,10,6,True
quarter.noBeam.down.pos8,10,0,16th.continue.up.pos2,10,7,True
quarter.noBeam.down.pos6,10,1,16th.continue.up.pos0,10,8,True
quarter.noBeam.down.pos7,10,2,16th.continue.up.pos0,10,9,True
quarter.noBeam.down.pos6,10,3,16th.continue.up.pos-3,10,10,True
tie.start.pos6,10,3,16th.stop.up.pos-3,10,11,True
barline.regular,10,3,barline.regular,10,11,True
quarter.noBeam.down.pos5,10,0,quarter.noBeam.down.pos14,10,0,True
quarter.noBeam.down.pos7,10,1,duration.dot.pos14,10,0,True
accid.natural.pos10,10,2,rest.quarter,10,1,True
half.noBeam.down.pos10,10,2,duration.dot.pos5,10,1,True
